antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'10岁'}),frozenset({'50008168'}),0.08891213389121339,0.4110878661087866,0.053347280334728034,0.6,1.4595419847328244,0.0167965809422104,1.4722803347280333
frozenset({'9岁'}),frozenset({'50008168'}),0.15271966527196654,0.4110878661087866,0.07426778242677824,0.48630136986301364,1.1829621109135904,0.01148658111727735,1.1464156206415619
frozenset({'8岁'}),frozenset({'50008168'}),0.19142259414225943,0.4110878661087866,0.07217573221757322,0.37704918032786877,0.917198514996037,-0.006515773533376526,0.9453589517727371
frozenset({'50014815'}),frozenset({'7岁'}),0.20292887029288703,0.2301255230125523,0.07322175732217573,0.36082474226804123,1.5679475164011247,0.026522644911678717,1.2044810365771361
frozenset({'7岁'}),frozenset({'50008168'}),0.2301255230125523,0.4110878661087866,0.07845188284518828,0.3409090909090909,0.8292852185981956,-0.01614992734721031,0.8935218583177029
frozenset({'7岁'}),frozenset({'50014815'}),0.2301255230125523,0.20292887029288703,0.07322175732217573,0.3181818181818182,1.5679475164011245,0.026522644911678717,1.1690376569037655
frozenset({'6岁'}),frozenset({'50014815'}),0.17782426778242677,0.20292887029288703,0.051255230125523014,0.2882352941176471,1.4203759854457247,0.015169552353775324,1.1198520004149521
frozenset({'50014815'}),frozenset({'6岁'}),0.20292887029288703,0.17782426778242677,0.051255230125523014,0.25257731958762886,1.4203759854457247,0.015169552353775324,1.1000144279324773
frozenset({'50008168'}),frozenset({'7岁'}),0.4110878661087866,0.2301255230125523,0.07845188284518828,0.19083969465648853,0.8292852185981957,-0.01614992734721031,0.9514486460882609
frozenset({'50008168'}),frozenset({'9岁'}),0.4110878661087866,0.15271966527196654,0.07426778242677824,0.1806615776081425,1.1829621109135906,0.01148658111727735,1.0341030172301775
frozenset({'50008168'}),frozenset({'8岁'}),0.4110878661087866,0.19142259414225943,0.07217573221757322,0.17557251908396945,0.9171985149960371,-0.006515773533376526,0.9807744459941112
frozenset({'50008168'}),frozenset({'10岁'}),0.4110878661087866,0.08891213389121339,0.053347280334728034,0.1297709923664122,1.4595419847328244,0.0167965809422104,1.046951846142553
